Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms),Paced walking duration (ms)
2023-05-21,38,1724.4756438284658,2158.2359865410563,10.0,9,0.44459307562000555,2.232066836004914,0.25552189014022303,3164,,,,,,1374564,,,
2023-05-22,157,2002.276940459522,9556.130898934969,70.0,66,0.6175985578512233,2.0413698203268424,0.2501575156369456,13129,,,,,,4979156,451879,,
2023-05-23,182,1943.9734463705327,9354.48382458091,44.0,43,0.6207878827930531,2.052143217388706,0.2501575156369456,13111,,,,,,3835103,548286,,
2023-05-24,108,1833.3616859909523,6321.791109824437,40.0,39,0.546743415682501,2.0961355525204484,0.2501575156369456,8856,,,,,,3212538,,,
2023-05-25,124,1959.34200253279,7140.851213264152,42.0,42,0.6345030607003783,1.7884289085332146,0.2501575156369456,10119,,,,,,4858459,214550,,
2023-05-26,181,1971.1151113774263,10551.348328254768,66.0,65,0.6277680130702292,1.9911263628184608,0.25078743900112305,14668,,,,,,5499721,,,
2023-05-27,6,1643.2499642372131,249.02043602041408,,,0.34530014732238995,0.49746282212146603,0.3411238631275441,444,,,,,,,,,
2023-05-28,23,1660.8489252129189,1066.6816118482793,2.0,2,0.3321123735922402,2.0965454790228293,0.2615283118022613,1700,,,,,,297823,,,
2023-05-29,155,1899.8293096526572,8608.33760544228,50.0,50,0.5117016063326669,1.7755773858574286,0.2501575156369456,12139,,,,,,3531676,354320,,
2023-05-30,194,1921.6028029133793,9845.88495547517,61.0,61,0.5284463129812881,1.6192153786539685,0.2501575156369456,13815,,,,,,2593986,925425,,
2023-05-31,223,2031.519229304904,11113.844428255365,59.0,57,0.6147665498833339,1.9178068189761048,0.2501575156369456,15227,,,,,,3361338,1377842,,
2023-06-01,187,2032.3698504283982,10774.566741788005,72.0,67,0.7311122850422155,2.1994622314458097,0.2642949335784718,14727,,,,,,4461935,874729,,
2023-06-02,152,1938.2002604987183,8555.974988160591,52.0,51,0.6640158145933936,1.8496748678883628,0.2615283118022613,12041,,,,,,4042136,413685,,
2023-06-03,3,1643.2499642372131,210.81456090495328,,,0.3380754993647257,0.9323251408356666,0.30701149646352416,355,,,,,,,,,
2023-06-04,8,1647.2846788453382,474.88598053994394,,,0.32793771722570203,1.4226514967804729,0.2956407002982085,798,,,,,,68278,,,
2023-06-05,99,1784.1021630953348,5432.062827523562,25.0,24,0.45847371726456426,1.8152686149333317,0.2615283118022613,8024,,,,,,2383608,,,
2023-06-06,111,1915.1173058232698,6752.809688341942,45.0,45,0.5199378056883145,1.7491275803812025,0.2501575156369456,9439,,,,,,3663661,409732,,
2023-06-07,132,1818.7057714665368,7122.655728955255,42.0,42,0.6170756746750233,1.9658231100019072,0.2615283118022613,10066,,,,,,2959194,,,
2023-06-08,95,1866.5859404799082,6242.425328812554,47.0,47,0.5173165431325704,1.836271548157344,0.2615283118022613,8647,,,,,,3630365,61857,,
2023-06-09,64,1855.2405956495388,4606.1145135178085,35.0,35,0.4461009629359991,1.689616593470124,0.2501575156369456,6430,,,,,,3142322,194635,,
2023-06-10,27,1698.5596085261227,1384.0906085874965,2.0,2,0.4944620883658195,1.838204745089151,0.2615283118022613,2194,,,,,,935993,,,
2023-06-11,400,2555.870910041772,22707.959160506376,121.0,120,0.7920123761207991,2.5473660917359258,0.24772852034740703,31764,,,,,,13533446,822140,,
